comuna_id,region_id,nombre,latitud,longitud
"297","13","Chonchi","-42.6525","-73.7579"
"298","13","Curaco de Vélez","-42.4393","-73.6004"
"299","13","Dalcahue","-42.3705","-73.6418"
"300","13","Puqueldón","-42.6028","-73.6728"
"301","13","Queilén","-42.8812","-73.4826"
"302","13","Quemchi","-42.1395","-73.4624"
"303","13","Quellón","-43.1138","-73.6363"
"304","13","Quinchao","-42.4967","-73.4409"
"305","13","Calbuco","-41.7635","-73.1535"
"306","13","Cochamó","-41.5152","-72.3273"
"307","13","Fresia","-41.1672","-73.3962"
"308","13","Frutillar","-41.1211","-73.0508"
"309","13","Llanquihue","-41.2518","-73.0245"
"310","13","Los Muermos","-41.4324","-73.5273"
"311","13","Maullín","-41.6363","-73.5836"
"312","13","Puerto Montt","-41.4544","-72.9388"
"313","13","Puerto Varas","-41.3214","-72.9793"
"314","13","Osorno","-40.5788","-73.1419"
"316","13","Purranque","-40.9257","-73.1373"
"317","13","Puyehue","-40.6808","-72.5819"
"318","13","Río Negro","-40.8043","-73.1999"
"319","13","San Juan de la Costa","-40.5564","-73.5645"
"320","13","San Pablo","-36.9638","-72.8093"
"321","13","Chaitén","-42.9204","-72.7027"
"322","13","Futaleufú","-43.1845","-71.8685"
"323","13","Hualaihué","-41.9565","-72.5866"
"324","13","Palena","-43.6257","-71.801"
"326","14","Cisnes","-44.7093","-72.6796"
"327","14","Guaitecas","-43.8915","-73.7787"
"328","14","Cochrane","-47.3096","-72.618"
"329","14","O'higgins","-48.454","-72.574"
"330","14","Tortel","-47.7983","-73.5319"
"331","14","Coihaique","-45.5799","-72.0531"
"332","14","Lago Verde","-44.2417","-71.8512"
"333","14","Chile Chico","-46.5557","-71.722"
"334","14","Río Ibáñez","-46.2271","-72.8027"
"336","15","Cabo de Hornos","-54.9388","-68.1517"
"337","15","Laguna Blanca","-52.4272","-71.4149"
"338","15","Punta Arenas","-53.1522","-70.9194"
"339","15","Río Verde","-52.7272","-71.4337"
"340","15","San Gregorio","-52.3723","-69.6564"
"341","15","Porvenir","-53.3033","-70.2913"
"342","15","Primavera","-52.7667","-69.2987"
"343","15","Timaukel","-54.0564","-68.8272"
"344","15","Natales","-51.7263","-72.5062"
"345","15","Torres del Paine","-51.0342","-73.016"
